complex_name,complex_slug,complex_logo_url,region_id,latitude,longitude,partner_name,partner_address,phone_mobile1,phone_mobile2,phone_short,email,website,facebook,instagram,partner_logo_url,initial_payment_pct,mortgage_rate_pct,mortgage_period_years,min_loan_amount,max_loan_amount
Xəzri Residence,250-xezri-residence,https://ipoteka.birbank.az/api/files/6540624f-2b9f-44be-96a8-6c372455f1db.jpeg,42,40.5797,49.69217,PMD GROUP MMC,"Bakı şəh, Port Baku, Neftçilər prospekti 153",0507075775,,5775,,www.pmdgroup.az,www.facebook.com/Pmdaz-105706621969998,www.instagram.com/pmd.az/,https://ipoteka.birbank.az/api/files/fdca44c0-1ba5-4c46-9d5d-00a0134e992d.png,20.0,16.5,20,20000.0,500000.0
Təbriz Evləri,238-tebriz-evleri,https://ipoteka.birbank.az/api/files/1af0d887-c3cb-4e3f-a6ed-8fd977bd40a7.jpeg,21,40.392715,49.854637,PMD GROUP MMC,"Bakı şəh, Port Baku, Neftçilər prospekti 153",0507075775,,5775,,www.pmdgroup.az,www.facebook.com/Pmdaz-105706621969998,www.instagram.com/pmd.az/,https://ipoteka.birbank.az/api/files/fdca44c0-1ba5-4c46-9d5d-00a0134e992d.png,20.0,16.5,20,20000.0,500000.0
Zərifə Əliyeva 53,625-zerife-əliyeva-53,https://ipoteka.birbank.az/api/files/0d10ea3f-dea0-4395-b262-1934b9906319.jpeg,1,40.374992,49.855225,PMD GROUP MMC,"Bakı şəh, Port Baku, Neftçilər prospekti 153",0507075775,,5775,,www.pmdgroup.az,www.facebook.com/Pmdaz-105706621969998,www.instagram.com/pmd.az/,https://ipoteka.birbank.az/api/files/fdca44c0-1ba5-4c46-9d5d-00a0134e992d.png,20.0,16.5,20,20000.0,500000.0
Üzeyir Hacıbəyli 57,955-üzeyir-hacibeyli-57,https://ipoteka.birbank.az/api/files/aba5e2bf-85ad-414c-9efc-393e8ec4c720.jpeg,1,40.376976,49.85769,PMD GROUP MMC,"Bakı şəh, Port Baku, Neftçilər prospekti 153",0507075775,,5775,,www.pmdgroup.az,www.facebook.com/Pmdaz-105706621969998,www.instagram.com/pmd.az/,https://ipoteka.birbank.az/api/files/fdca44c0-1ba5-4c46-9d5d-00a0134e992d.png,20.0,16.5,20,20000.0,500000.0
Gümüş Residence,843-gumus-residence,https://ipoteka.birbank.az/api/files/13a7e7c7-b575-44e2-bc94-e207dd0d297e.jpeg,1,40.36688,49.823574,PMD GROUP MMC,"Bakı şəh, Port Baku, Neftçilər prospekti 153",0507075775,,5775,,www.pmdgroup.az,www.facebook.com/Pmdaz-105706621969998,www.instagram.com/pmd.az/,https://ipoteka.birbank.az/api/files/fdca44c0-1ba5-4c46-9d5d-00a0134e992d.png,20.0,16.5,20,20000.0,500000.0
Hillside Residence,758-hillside-residence,https://ipoteka.birbank.az/api/files/c708b58a-b40f-408a-8ec6-cc92fecdc588.jpeg,1,40.361034,49.82521,PMD GROUP MMC,"Bakı şəh, Port Baku, Neftçilər prospekti 153",0507075775,,5775,,www.pmdgroup.az,www.facebook.com/Pmdaz-105706621969998,www.instagram.com/pmd.az/,https://ipoteka.birbank.az/api/files/fdca44c0-1ba5-4c46-9d5d-00a0134e992d.png,20.0,16.5,20,20000.0,500000.0
Vurğun Residence,793-vurgun-residence,https://ipoteka.birbank.az/api/files/d6b3ca63-d8a0-4533-9893-8d4fe522e632.jpeg,3,40.38428,49.836315,PMD GROUP MMC,"Bakı şəh, Port Baku, Neftçilər prospekti 153",0507075775,,5775,,www.pmdgroup.az,www.facebook.com/Pmdaz-105706621969998,www.instagram.com/pmd.az/,https://ipoteka.birbank.az/api/files/fdca44c0-1ba5-4c46-9d5d-00a0134e992d.png,20.0,16.5,20,20000.0,500000.0
Grand Park Plaza,111-grand-park-plaza,https://ipoteka.birbank.az/api/files/31585d38-5051-4a8c-adac-3e56008082db.jpeg,3,40.38653,49.834564,PMD GROUP MMC,"Bakı şəh, Port Baku, Neftçilər prospekti 153",0507075775,,5775,,www.pmdgroup.az,www.facebook.com/Pmdaz-105706621969998,www.instagram.com/pmd.az/,https://ipoteka.birbank.az/api/files/fdca44c0-1ba5-4c46-9d5d-00a0134e992d.png,20.0,16.5,20,20000.0,500000.0
Nizami Boutique,208-nizami-boutique,https://ipoteka.birbank.az/api/files/2a5e499b-3a90-4c8a-8dba-587f0b9e1fc3.jpeg,1,40.369118,49.82423,PMD GROUP MMC,"Bakı şəh, Port Baku, Neftçilər prospekti 153",0507075775,,5775,,www.pmdgroup.az,www.facebook.com/Pmdaz-105706621969998,www.instagram.com/pmd.az/,https://ipoteka.birbank.az/api/files/fdca44c0-1ba5-4c46-9d5d-00a0134e992d.png,20.0,16.5,20,20000.0,500000.0
Oscar,929-oscar,https://ipoteka.birbank.az/api/files/aa8381ce-40e8-4e81-aba6-a7a95f968279.jpeg,22,40.42708,49.953163,SR Construction CO MMC,"Yasamal rayonu, Balababa Məcidov küçəsi",0505551144,,1144,,www.srconstruction.az,www.facebook.com/SRinshaat/,www.instagram.com/srconstructionco/,https://ipoteka.birbank.az/api/files/33d53685-ab81-43a0-ad90-a848d03d584b.jpg,20.0,16.5,20,20000.0,500000.0
