name,down_payment,annual_rate,term,address,phone,website,logo_url
Royal İnşaat,30%,min. 8%,20 ilədək,"Mərdəkan qəsəbəsi, Yesenin küçəsi, ev 87b",+994 50 233 06 06,,https://ipoteka.pashabank.az/assets/images/banner/324royal.png
Ancora Residence,min. 30%,min. 8%,20 ilədək,"Ağ Şəhər, Qarabağ atları meydanı",+994 50 277 27 30,www.ancoraresidence.az,https://ipoteka.pashabank.az/assets/images/banner/ancora-residence-min.png
Park Bayıl Residence,min. 30%,min. 8%,20 ilədək,Qurban Abbasov küçəsi 29,+994 50 491 22 26,www.parkbayil.az,https://ipoteka.pashabank.az/assets/images/banner/park-bayil11.png
Teras Park,min. 30%,min. 10%,20 ilədək,Sakit Qocayev küç. 35,*1144,www.srconstruction.az,https://ipoteka.pashabank.az/assets/images/banner/teras-park11.png
Ahmadli Park,min. 30%,min. 10%,20 ilədək,"M.Hadi küç., 2337-ci məh.",*1144,www.srconstruction.az,https://ipoteka.pashabank.az/assets/images/banner/ahmadli-park11.png
Eko Park,min. 30%,min. 8%,20 ilədək,Əvəz Paşayev küçəsi 2,,,https://ipoteka.pashabank.az/assets/images/banner/ekopark 1.png
Sabah Residence,min. 34%,min. 8%,20 ilədək,"Ziya Yusifzadə küç.,12",+994 50 295 81 81,www.sabahresidence.az,https://ipoteka.pashabank.az/assets/images/banner/sabah-min.png
Kristal AA MTK,min. 30%,min. 8%,20 ilədək,Rəşid İsmayılov 11D,+994 50 580 44 88,,https://ipoteka.pashabank.az/assets/logos/building.png
Elips-R MTK,min. 30%,min. 8%,20 ilədək,Feyzulla Qasımzadə küç. 8,+994 50 580 44 88,,https://ipoteka.pashabank.az/assets/logos/building.png
Turkuaz Yaşayış Kompleksi,min. 30%,min. 8%,20 ilədək,Xətai rayonu Nəsrəddin Tusi küç 293,+994 50 242 11 22,,https://ipoteka.pashabank.az/assets/images/banner/turkuaz11.png
Malibo Residence,min. 30%,min. 8%,20 ilədək,Salatın Əsgərova küçəsi 98,+994 50 202 22 11,,https://ipoteka.pashabank.az/assets/images/banner/malibo.png
Grand Plaza Residence,min. 30%,min. 8%,20 ilədək,Süleyman Rüstəm küçəsi 59,+994 50 505 55 22,,https://ipoteka.pashabank.az/assets/images/banner/grandplaza2 1.png
28 Residence,min. 30%,min. 8%,20 ilədək,"Nəsimi rayonu, Azadlıq prospekti 40",+994 50 271 11 55,,https://ipoteka.pashabank.az/assets/images/banner/28-park-residence 1.png
Vurğun Residence,min. 10%,min. 10%,20 ilədək,Səməd Vurğun küçəsi 110,+994 50 707 57 75,,https://ipoteka.pashabank.az/assets/images/banner/vurgun.png
